name	length	species	type	subtype	description	classification
LTR7Y	472	Homininae	LTR	ERV1	LTR7Y (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR8	691	Simiiformes	LTR	ERV1	LTR8 (Long Terminal Repeat) for HUERS-P3 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR80A	583	Eutheria	LTR	ERVL	LTR80A (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR80B	584	Eutheria	LTR	ERVL	LTR80B (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR81	1189	Eutheria	LTR	Gypsy	LTR81 (Long Terminal Repeat) for Gypsy retrotransposon	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR81A	1350	Eutheria	LTR	Gypsy	LTR81A (Long Terminal Repeat) for Gypsy retrotransposon	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR81AB	278	Eutheria	LTR	Gypsy	LTR81AB (Long Terminal Repeat) for Gypsy retrotransposon	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR81B	1393	Eutheria	LTR	Gypsy	LTR81B (Long Terminal Repeat) for Gypsy retrotransposon	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR81C	1153	Eutheria	LTR	Gypsy	LTR81C (Long Terminal Repeat) for Gypsy retrotransposon	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR82A	872	Eutheria	LTR	ERVL	LTR82A (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR82B	830	Eutheria	LTR	ERVL	LTR82B (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR83	780	Eutheria	LTR	ERVL	LTR83 (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR84a	757	Eutheria	LTR	ERVL	LTR84a (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR84b	761	Eutheria	LTR	ERVL	LTR84b (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR85a	702	Eutheria	LTR	Gypsy	LTR85a (Long Terminal Repeat) with unclear association (possibly Gypsy)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR85b	784	Eutheria	LTR	Gypsy	LTR85b (Long Terminal Repeat) with unclear association (possibly Gypsy)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR85c	823	Eutheria	LTR	Gypsy	LTR85c (Long Terminal Repeat) with unclear association (possibly Gypsy)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR86A1	513	Eutheria	LTR	ERVL	LTR86A1 (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR86A2	508	Eutheria	LTR	ERVL	LTR86A2 (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR86B1	493	Eutheria	LTR	ERVL	LTR86B1 (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR86B2	487	Eutheria	LTR	ERVL	LTR86B2 (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR86C	621	Eutheria	LTR	ERVL	LTR86C (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR87	624	Eutheria	LTR	ERVL	LTR87 (Long Terminal Repeat) likely for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR88a	816	Eutheria	LTR	Gypsy	LTR88a (Long Terminal Repeat) with unclear association (possibly Gypsy)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR88b	837	Eutheria	LTR	Gypsy	LTR88b (Long Terminal Repeat) with unclear association (possibly Gypsy)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR88c	862	Eutheria	LTR	Gypsy	LTR88c (Long Terminal Repeat) with unclear association (possibly Gypsy)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTR89	879	Eutheria	LTR	ERVL	LTR89 (Long Terminal Repeat) likely for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR89B	744	Eutheria	LTR	ERVL	Ancient interspersed repetitive sequence from eutherian mammals.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV2-group;ERV3;ERVL
LTR8A	727	Simiiformes	LTR	ERV1	LTR8A (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR8B	820	Simiiformes	LTR	ERV1	LTR8B (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR9	612	Simiiformes	LTR	ERV1	LTR9 (Long Terminal Repeat) for HUERS-P3 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR90A	976	Theria_Mammalia	LTR	.	LTR90A (Long Terminal Repeat) with unclear association	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element
LTR90B	796	Theria_Mammalia	LTR	.	LTR90B (Long Terminal Repeat) with unclear association	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element
LTR91	874	Eutheria	LTR	.	LTR91 (Long Terminal Repeat) for ERVL endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element
LTR91A	983	Eutheria	LTR	.	LTR91A (Long Terminal Repeat)	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element
LTR9A1	728	Simiiformes	LTR	ERV1	LTR9A1 (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR9B	644	Simiiformes	LTR	ERV1	LTR9B (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR9C	666	Simiiformes	LTR	ERV1	LTR9C (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTR9D	645	Simiiformes	LTR	ERV1	LTR9D (Long Terminal Repeat) for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRCER1	492	Caenorhabditis_elegans	LTR	Gypsy	LTR of retrotransposon CER1, gypsy/Ty3 group.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
LTRIS2	564	Mus_mouse_genus	LTR	ERV1	Mouse subfamily of LTR retrotransposons	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS3	512	Mus_mouse_genus	LTR	ERV1	Mouse subfamily of LTR retrotransposons	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS4	507	Mus_mouse_genus	LTR	ERV1	Mouse subfamily of LTR retrotransposons	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS4A	474	Mus_musculus	LTR	ERV1	Long terminal repeat of endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS4B	391	Mus_musculus	LTR	ERV1	Long terminal repeat of endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS5	447	Mus_mouse_genus	LTR	ERV1	Mouse long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS6	335	Mus_musculus	LTR	ERV1	Long terminal repeat of endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS_Mm	482	Mus_mouse_genus	LTR	ERV1	Long terminal repeat of ERV1 Endogenous Retrovirus from mouse.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LTRIS_Mus	587	Mus_mouse_genus	LTR	ERV1	Mouse family of LTR retrotransposons	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
LX3	1010	Sciuromorpha	LINE	L1	Myomorph LINE1 repeat, 3' end	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
LmeSINE1c	121	Metazoa	SINE	tRNA-Deu-L2	Coelacanth DeuSINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;L2-end
Looper	1557	Eutheria	DNA	PiggyBac	PiggyBac DNA transposon, Looper subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PiggyBac-like_element;PiggyBac
Looper-N7_DR	1015	Danio	DNA	Kolobok-T2	Non-autonomous Kolobok DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Kolobok_Group;T2
Looper-N8_DR	1107	Danio	DNA	Kolobok-T2	Non-autonomous Kolobok transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Kolobok_Group;T2
Lx10_3end	1273	Rodentia	LINE	L1	Non-LTR retrotransposon in rodents - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx2A1_3end	1422	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx2A_3end	1422	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx2B2_3end	1401	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx2B_3end	1414	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx2_3end	1411	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx3A_3end	1395	Muridae	LINE	L1	Non-LTR retrotransposon in      murids - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx3B_3end	1387	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx3C_3end	1390	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx3_Mus_3end	1423	Mus_mouse_genus	LINE	L1	Lx3_Mus_3end subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx4A_3end	1472	Muridae	LINE	L1	Lx4A_3end subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx4B_3end	1472	Muridae	LINE	L1	Lx4B_3end subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx5_3end	1464	Muridae	LINE	L1	Non-LTR retrotransposon in murids - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx5b_3end	1457	Muridae	LINE	L1	Non-LTR retrotransposon in murids - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx5c_3end	1548	Muridae	LINE	L1	Non-LTR retrotransposon in murids - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx6_3end	1874	Rodentia	LINE	L1	Lx6_3end subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx7_3end	2110	Rodentia	LINE	L1	L1 Non-LTR Retrotransposon from rodents.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx8_3end	1887	Rodentia	LINE	L1	Non-LTR retrotransposon in rodents - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx8b_3end	1891	Rodentia	LINE	L1	Non-LTR retrotransposon in rodents - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx9_3end	2058	Rodentia	LINE	L1	Non-LTR retrotransposon in rodents - 3' UTR fragment.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
Lx_3end	1068	Muridae	LINE	L1	L1 Non-LTR Retrotransposon from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1
M4DM	1435	Drosophila_fruit_fly_genus	DNA	CMC-Transib	M4DM is a nonautonomous DNA transposon.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;Transib
MADE1	80	Simiiformes	DNA	TcMar-Mariner	MADE1 (MAriner Derived Element 1), a TcMar-Mariner DNA transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
MADE2	80	Eutheria	DNA	TcMar-Mariner	MADE2 (MAriner Derived Element 2), a non-autonomous DNA transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
MARE10	324	Mammalia	DNA	TcMar-Tigger	Repetitive element conserved in all mammals.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Pogo-group;Tigger
MARE11	197	Mammalia	Unknown	.	Repetitive element conserved in all mammals	Interspersed_Repeat;Unknown
MARE4	164	Theria_Mammalia	DNA	hAT-Tip100	Conserved repeat present in placental mammals and marsupials.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
MARE6	1289	Mammalia	LINE	L1-Tx1	Repetitive element conserved in all mammals.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;Tx1
MARE8	300	Mammalia	DNA	.	Repetitive element conserved in all mammals.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
MARE9	144	Mammalia	Unknown	.	Repetitive element conserved in all mammals.	Interspersed_Repeat;Unknown
MARINCE1	1286	Caenorhabditis_elegans	DNA	TcMar-Tc1	Mariner-type DNA transposon from C. elegans	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
MARNA	586	Eutheria	DNA	TcMar-Mariner	TcMar-Mariner DNA transposon, MARNA subfamily (non-autonomous)	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
MAR_CE	1239	Caenorhabditis_elegans	DNA	TcMar-Mariner	Mariner DNA transposon from C. elegans	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
MAX_I	7914	Drosophila_fruit_fly_genus	LTR	Pao	MAX_I is an internal portion of the MAX endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
MAX_LTR	321	Drosophila_fruit_fly_genus	LTR	Pao	MAX_LTR is a long terminal repeat from the MAX endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
MDG1_I	6596	Drosophila_fruit_fly_genus	LTR	Gypsy	Internal portion of MDG1 LTR-retrotransposon.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
MDG1_LTR	442	Drosophila_fruit_fly_genus	LTR	Gypsy	Long terminal repeat from MDG1 LTR-retrotransposon.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
MDG3_I	4986	Drosophila_fruit_fly_genus	LTR	Gypsy	Internal part of D.melanogaster MDG3 retrotransposon.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
MDG3_LTR	267	Drosophila_fruit_fly_genus	LTR	Gypsy	LTR of MDG3 retrotransposon.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
MER101	474	Primates	LTR	ERV1	MER101 Long Terminal Repeat for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
MER101-int	6639	Primates	LTR	ERV1	Internal region of ERV1 endogenous retrovirus, MER101-int subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
MER101B	570	Euarchontoglires	LTR	ERV1	MER101B putative Long Terminal Repeat for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
MER102a	330	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER102a subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER102b	341	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER102b subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER102c	331	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER102c subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER103C	297	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER103C subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER104	181	Eutheria	DNA	TcMar-Tc2	TcMar-Tc2 DNA transposon, MER104 subfamily (non-autonomous)	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc2
MER105	203	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER105 subfamily (non-autonomous)	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER106A	236	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER106A subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER106B	1059	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER106B subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER107	200	Simiiformes	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER107 subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER110	491	Eutheria	LTR	ERV1	MER110 Long Terminal Repeat for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
MER110-int	4647	Eutheria	LTR	ERV1	Internal region of ERV1 endogenous retrovirus, MER110-int subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
MER110A	468	Eutheria	LTR	ERV1	MER110A Long Terminal Repeat for ERV1 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Retroviridae;Orthoretrovirinae;ERV1
MER112	261	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER112 subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER113	521	Eutheria	DNA	hAT-Charlie	Putative hAT-Charlie DNA transposon, MER113 subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER113A	314	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER113A subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER115	693	Eutheria	DNA	hAT-Tip100	hAT-Charlie DNA transposon, MER115 subfamily (non-autonomous)	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
MER117	197	Eutheria	DNA	hAT-Charlie	Putative hAT-Charlie DNA transposon, MER117 subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
MER119	583	Eutheria	DNA	hAT-Charlie	hAT-Charlie DNA transposon, MER119 subfamily (non-autonomous)	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
